"","overall_rating","full_name","age","height_cm","weight_kgs","potential","value_euro","wage_euro","preferred_foot","ir1","ir2","ir3","ir4","ir5","weak_foot_1","weak_foot_2","weak_foot_3","weak_foot_4","weak_foot_5","skills_2","skills_3","skills_4","skills_5","work_rate_LL","work_rate_LM","work_rate_LH","work_rate_ML","work_rate_MM","work_rate_MH","work_rate_HL","work_rate_HM","work_rate_HH","release_clause_euro","club_rating","club_jersey_number","crossing","finishing","heading_accuracy","short_passing","volleys","dribbling","curve","freekick_accuracy","long_passing","ball_control","acceleration","sprint_speed","agility","reactions","balance","shot_power","jumping","stamina","strength","long_shots","aggression","interceptions","positioning","vision","penalties","composure","marking","standing_tackle","sliding_tackle"
"12",64,"Paschalis Staikos",23,152.4,74.8,73,6e+05,1000,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1400000,71,6,37,32,48,67,35,60,37,53,61,64,65,68,62,59,69,51,62,74,65,57,67,60,48,60,51,63,63,61,53
"13",67,"Chris Pontius",31,182.88,77.1,67,725000,3000,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1100000,71,12,64,66,72,66,60,67,66,60,61,67,60,64,68,70,68,75,83,74,70,66,67,47,71,66,66,67,54,58,43
"14",66,"Benoît Badiashile Mukinayi",17,193.04,77.1,86,1100000,6000,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3300000,79,32,36,20,69,66,31,34,26,34,48,55,57,58,43,59,42,49,71,62,79,28,60,63,25,39,46,63,64,67,59
"15",72,"山口 蛍",28,172.72,72.1,72,3200000,7000,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4100000,69,5,49,52,52,76,53,69,55,46,73,76,79,76,84,73,82,63,78,78,66,57,72,71,55,68,41,75,62,72,66
"16",68,"Jack Rodwell",27,187.96,78,68,750000,15000,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1400000,69,5,67,63,74,71,64,64,66,47,67,71,60,61,69,60,62,72,76,51,71,70,70,68,67,70,57,69,66,69,64
"17",72,"Gianluca Mancini",22,190.5,77.1,81,4200000,15000,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7900000,76,23,34,32,72,53,40,41,38,34,40,53,52,52,37,62,57,51,68,53,76,34,76,72,32,39,47,55,73,75,72
"18",62,"Mateusz Cichocki",27,187.96,78.9,64,3e+05,1000,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,428000,63,16,24,24,60,63,26,34,31,24,52,59,61,61,55,49,61,33,73,65,71,18,50,61,27,30,35,47,60,62,64
"19",62,"Amara Condé",22,172.72,67.1,71,475000,5000,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,903000,77,44,59,39,37,67,39,69,61,62,63,67,74,72,79,54,77,48,66,62,47,45,49,43,52,64,50,49,48,58,59
"20",70,"Marko Pajač",25,185.42,68.9,72,2200000,16000,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4175351.9,72,6,66,64,59,72,54,72,65,68,71,68,76,78,67,69,55,70,55,69,55,70,68,62,62,62,53,65,51,62,62
"21",66,"Peter Kurzweg",25,154.94,77.1,70,7e+05,7000,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1038797.6,65,28,72,49,44,67,33,66,71,49,60,62,82,82,80,62,71,50,80,77,64,40,74,53,54,55,48,49,53,64,66
"22",73,"Préjuce Niguimbé Nakoulma",31,152.4,76.2,73,3600000,14000,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7200000,71,70,67,73,58,65,36,76,50,39,58,73,79,88,83,73,77,76,74,73,81,68,60,45,74,65,58,80,28,35,30
"23",65,"韩鹏",35,187.96,84.8,65,280000,4000,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,602000,64,9,44,66,76,55,58,58,52,58,57,56,52,39,56,66,50,68,65,43,84,59,76,13,68,61,65,64,26,22,15
"24",68,"Arkadiusz Piech",33,170.18,72.1,68,575000,4000,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,776000,66,29,50,68,67,58,71,65,52,37,47,67,75,81,74,58,81,65,83,71,68,53,82,31,73,51,69,60,34,44,33
"25",68,"Marko Bakić",25,185.42,78,72,1100000,5000,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1610575.8,67,22,69,54,60,72,49,71,61,59,69,75,53,58,60,66,59,74,54,55,68,72,70,50,68,68,45,69,52,49,49
"26",70,"David Kinsombi",23,182.88,73.9,76,2400000,7000,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4300000,69,6,53,58,56,72,30,69,38,29,62,72,74,73,69,72,69,60,84,81,78,56,69,68,55,69,44,73,66,72,67
"27",64,"Hussein Omar Abdul Ghani Sulaimani",42,172.72,69.9,64,1954447.6,5000,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3257674.8,72,24,71,43,61,69,43,63,69,69,70,64,48,52,67,65,68,65,69,54,72,63,92,65,64,69,60,67,62,66,63
"28",62,"김도형 金道亨",28,154.94,69.9,62,325000,2000,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,406000,66,13,58,63,47,52,45,63,39,33,43,64,81,78,71,55,68,58,71,65,61,54,30,11,63,47,59,42,26,12,14
"29",68,"김인성 金仁成",29,154.94,73.9,68,9e+05,4000,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1200000,69,7,76,63,45,71,51,72,55,48,62,70,87,92,81,57,65,66,80,35,56,40,33,22,57,48,66,60,34,31,31
"30",80,"Andreas Christensen",22,187.96,81.2,87,1.8e+07,85000,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,36900000,83,27,49,36,80,77,25,66,32,22,71,73,66,70,61,78,61,31,72,69,73,20,73,82,32,62,36,77,80,85,82
"31",69,"Diogo Sousa Verdasca",22,185.42,81.2,79,1500000,3000,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2700000,70,5,33,24,68,65,30,49,37,34,59,59,65,67,63,58,60,60,81,74,76,33,77,63,31,41,47,60,73,66,67
"32",61,"Simon Banza",22,187.96,77.1,70,4e+05,2000,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,780000,68,41,31,61,58,52,45,58,43,31,35,56,65,66,62,59,63,62,69,59,62,64,39,14,61,57,67,58,42,19,18
"33",72,"Oier Sanjurjo Maté",32,152.4,72.1,72,1800000,7000,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2900000,71,6,64,61,59,71,44,64,61,45,68,71,72,74,70,69,73,72,83,79,75,65,78,73,69,73,56,61,71,69,67
"34",71,"Guillermo Gastón Acosta",30,167.64,73,71,2300000,13000,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3500000,71,8,64,62,59,70,56,69,62,50,70,69,80,72,83,75,88,65,80,87,65,67,69,69,66,71,42,60,61,62,60
"35",65,"Emmanuel Sabbi",21,152.4,69.9,76,950000,2000,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1400000,63,11,41,61,55,55,53,69,51,43,34,69,89,90,91,60,88,55,94,68,54,55,44,17,68,47,54,61,35,14,13
"36",69,"Moreno Costanzo",31,152.4,73.9,69,1e+06,8000,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1500000,64,16,60,62,57,64,61,65,74,71,59,72,62,60,78,65,67,75,57,63,55,75,57,62,74,73,72,60,40,63,44
"37",64,"Sebastián Ignacio Leyton Hevia",25,152.4,68,69,6e+05,1000,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,855000,67,42,59,53,66,65,37,62,37,59,63,66,66,67,64,52,73,71,67,76,71,73,64,64,56,58,58,67,52,63,59
"38",82,"Jardel Nivaldo Vieira",32,193.04,87.1,82,12500000,17000,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.5e+07,79,33,46,38,85,68,27,52,30,35,53,60,50,63,35,77,34,58,77,68,89,37,83,82,30,49,57,71,85,84,78
"39",64,"Derek Cornelius",21,187.96,86.2,74,650000,1000,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1100000,67,13,33,18,62,51,28,32,25,22,45,42,65,68,60,56,59,37,73,66,77,21,70,55,22,30,31,50,64,64,62
"40",57,"Darragh Leahy",20,185.42,72.1,69,160000,1000,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,280000,57,3,53,39,56,54,30,55,48,30,50,55,61,57,58,52,52,42,69,62,56,33,66,54,47,36,43,52,55,58,54
"41",63,"Atakan Akkaynak",20,154.94,77.1,78,775000,1000,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1600000,68,22,52,47,44,69,48,62,51,52,66,63,63,62,71,60,69,59,64,69,67,54,54,59,48,64,45,62,64,55,47
"42",68,"Eduardo da Silva Nascimento Neto",30,185.42,76.2,68,7e+05,4000,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,875000,67,21,62,38,47,67,58,59,63,44,63,63,67,68,59,68,55,71,81,80,84,71,70,68,57,45,43,65,65,70,64
"43",56,"Gastón Avila",17,182.88,74.8,78,180000,1000,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,432000,76,14,30,21,60,37,28,31,30,34,31,33,58,64,47,49,62,41,67,62,56,26,46,56,31,31,43,41,51,66,61
"44",61,"Zoumana Bakayogo",32,175.26,68.9,61,160000,2000,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,280000,62,24,65,36,44,57,34,62,40,50,56,61,69,68,71,55,62,42,71,59,69,43,59,59,62,56,35,59,60,59,57
"45",84,"Juan Cuadrado",30,152.4,72.1,84,29500000,150000,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,48700000,85,16,80,67,58,80,70,90,78,69,69,85,89,93,91,80,82,84,75,78,61,80,78,62,78,76,65,80,63,70,74
"46",91,"Luka Modrić",33,172.72,66.2,91,6.7e+07,420000,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,137400000,86,10,86,72,55,93,76,90,85,78,88,92,80,72,92,90,94,79,68,89,58,82,62,83,79,92,82,90,68,76,73
"47",65,"Filipe Morais",33,175.26,83,65,4e+05,3000,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7e+05,62,22,70,58,40,64,44,68,71,75,65,67,68,70,72,65,85,61,85,69,61,55,65,57,61,65,64,66,41,55,48
"48",72,"José Mauri",22,170.18,64.9,79,4300000,43000,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8200000,80,4,66,40,41,78,64,77,72,55,74,78,77,65,89,66,93,64,75,74,33,68,69,68,50,72,62,68,70,62,66
"49",59,"Johan Falkmar",27,185.42,79.8,60,150000,1000,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,199000,60,15,48,31,58,57,32,48,41,31,54,50,70,69,58,53,57,36,62,67,68,35,56,54,52,51,33,49,58,59,57
"50",57,"Vinni Triboulet",19,182.88,74.8,74,220000,1000,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,523000,67,23,29,62,56,45,47,51,39,28,30,56,75,64,51,53,61,49,65,56,39,52,31,16,60,50,60,51,21,12,12
"51",71,"José Artur de Lima Junior",22,154.94,69.9,76,2700000,5000,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4200000,70,8,51,49,59,71,42,72,49,59,68,73,65,72,77,70,69,59,62,85,69,47,74,67,60,57,57,68,69,71,67
"52",79,"Adam David Lallana",30,152.4,73,79,11500000,105000,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,21300000,83,20,74,71,67,83,72,83,77,66,75,84,70,68,78,74,75,72,70,75,62,71,76,63,74,82,70,80,61,62,62
"53",69,"Adam Le Fondre",32,175.26,73,69,950000,6000,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1200000,67,9,65,74,61,62,71,63,66,53,51,70,70,68,70,67,77,67,75,66,60,62,55,34,71,66,83,74,19,25,14
"54",59,"한승욱 Seung Wook Han",23,175.26,69.9,67,230000,1000,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,334000,66,26,43,56,35,62,38,55,48,44,61,57,63,69,64,54,75,54,71,66,67,56,56,46,51,60,42,51,51,39,47
"55",78,"Julian Baumgartlinger",31,182.88,86.2,78,7500000,53000,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12800000,80,15,63,39,69,81,50,65,47,49,71,74,68,71,65,74,64,73,80,88,78,39,84,77,62,64,59,75,79,80,75
"56",64,"Kevin Behrens",28,182.88,79.8,64,475000,2000,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,760000,69,16,42,65,65,49,55,56,50,33,44,58,64,67,69,62,63,72,67,66,76,60,62,24,63,54,65,56,27,20,19
"57",76,"David Jefferson Seijalbo Vaz",35,175.26,76.2,76,2300000,25000,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4400000,73,6,48,45,60,77,53,50,47,44,76,70,58,70,77,79,76,65,81,88,80,62,83,70,36,52,62,80,81,77,68
"58",60,"Wojciech  Hajda",18,182.88,74.8,74,375000,1000,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,741000,65,18,35,36,48,57,31,60,31,31,55,57,64,64,75,55,69,40,78,75,60,29,68,57,38,42,37,49,63,59,57
"59",73,"Francisco Leonel Lima Silva Machado",23,175.26,66.2,78,5500000,5000,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.2e+07,70,22,68,56,36,72,48,76,67,68,70,75,73,69,85,72,83,72,34,74,38,70,47,49,67,75,74,70,46,53,41
"60",73,"Saúl Salcedo",21,182.88,74.8,82,5500000,9000,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9400000,71,6,39,31,73,45,34,46,33,32,48,53,66,69,55,74,67,52,85,71,81,27,61,71,28,43,43,72,73,77,74
"61",66,"Fabio Concas",32,152.4,62.1,66,575000,1000,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,891000,67,7,56,53,55,66,54,66,57,52,62,67,81,90,81,66,84,65,73,79,67,52,64,44,50,53,60,72,30,48,47
"62",72,"Leonardo Koutris",23,170.18,72.1,78,3600000,1000,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8200000,75,23,77,57,56,60,45,68,73,56,61,70,86,83,79,70,80,67,66,80,64,63,66,71,66,58,55,69,68,65,69
"63",69,"Otar Kakabadze",23,185.42,76.2,76,1200000,6000,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2e+06,66,2,70,41,58,65,34,75,67,52,63,76,89,86,75,59,56,61,57,73,73,42,70,64,65,62,49,58,58,67,65
"64",71,"Petr Ševčík",24,172.72,66.2,77,3200000,1000,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,7700000,72,23,65,67,57,69,62,77,64,60,65,77,79,79,80,68,78,75,67,79,61,74,70,59,65,70,59,66,50,63,67
"65",62,"Nathan Smith",22,182.88,72.1,65,325000,2000,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,593000,62,15,28,24,62,30,28,22,29,24,24,30,59,60,51,60,65,31,78,79,70,19,67,60,22,26,32,57,65,64,60
"66",72,"Michael Olunga",24,193.04,84.8,79,4400000,8000,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6400000,65,26,29,73,69,67,70,70,51,36,40,71,66,76,60,61,61,76,68,71,85,68,70,35,66,43,55,65,23,18,13
"67",71,"Patrick De Oliveira Vieira",28,172.72,76.2,71,2e+06,4000,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4100000,69,91,68,42,56,68,45,67,73,70,57,69,76,77,75,68,73,75,75,70,59,50,74,67,64,64,45,71,65,74,72
"68",70,"Lourival Adnan Diniz Prazeres",31,187.96,84.8,70,1300000,11000,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2500000,70,4,44,52,76,61,31,41,45,43,71,52,65,60,59,62,55,62,72,56,77,54,63,67,23,41,61,60,72,73,67
"69",67,"Stefan Kulovits",35,152.4,69.9,67,180000,2000,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,288000,69,31,48,51,58,62,43,58,55,40,53,64,53,46,76,66,76,61,77,80,60,65,83,70,37,51,47,68,69,69,73
"70",56,"Mateusz Żyro",20,187.96,78,70,180000,1000,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,304003.3,65,3,28,36,55,37,31,22,28,31,34,33,62,64,46,52,51,33,65,68,71,34,51,55,24,29,37,39,50,58,55
"71",54,"Tomás Clavijo",19,170.18,76.2,69,130000,1000,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,257000,68,4,43,29,40,53,23,56,34,29,25,50,62,57,55,48,70,29,64,59,56,26,48,53,51,34,31,47,55,56,52
"72",74,"Brahian Alemán",29,175.26,78.9,74,5500000,27000,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9100000,67,23,72,66,60,74,66,76,80,78,73,74,77,78,75,67,65,79,70,70,72,77,66,69,72,74,69,69,65,66,64
"73",67,"Sam Cronin",32,152.4,74.8,67,525000,3000,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,788000,71,16,59,54,55,69,55,58,61,45,67,65,55,64,59,64,66,69,69,64,67,63,74,66,59,65,61,67,68,62,59
"74",64,"Nathaniel Atkinson",19,154.94,72.1,77,750000,1000,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1400000,66,13,59,46,38,61,31,65,65,38,55,64,84,80,86,62,89,44,88,75,74,43,55,54,66,60,51,66,64,65,60
"75",62,"Božo Musa",30,190.5,83,62,240000,1000,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,324000,65,26,51,36,60,58,30,61,48,22,62,63,64,59,40,48,46,41,65,68,77,45,48,59,40,51,39,70,55,65,62
"76",69,"Colin Kazim-Richards",32,187.96,94.8,69,950000,5000,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1600000,68,9,63,67,74,69,68,68,64,64,68,54,62,64,66,68,63,77,78,64,84,68,78,15,62,63,63,58,21,43,41
"77",58,"Yong Gi Ryang",37,172.72,72.1,58,50000,1000,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,63000,64,10,66,55,46,68,45,64,62,69,62,66,34,43,64,60,69,51,33,49,63,64,45,62,50,68,49,58,28,41,36
"78",59,"Lucas Calderón",20,175.26,69.9,68,240000,2000,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,408000,69,29,39,62,55,44,51,61,48,39,42,58,71,72,64,59,76,57,59,56,47,57,31,19,54,52,66,50,20,13,18
"79",72,"Isaac Hayden",23,185.42,78.9,79,3700000,25000,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7800000,76,14,43,48,65,73,33,65,45,38,68,72,55,64,57,67,60,62,68,70,73,56,79,68,53,65,49,63,70,72,70
"80",61,"Janik Jesgarzewski",25,154.94,74.8,66,280000,1000,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,427000,64,3,49,40,50,67,38,46,43,45,56,61,70,70,65,58,68,44,61,71,62,35,47,57,39,53,43,59,60,59,55
"81",68,"Gianluca Gaudino",22,175.26,74.8,79,1500000,7000,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2600000,71,11,50,36,40,78,42,67,51,53,73,77,67,66,82,67,80,51,57,61,30,37,33,58,49,73,51,70,55,47,36
"82",77,"Armando Izzo",27,182.88,78,82,1e+07,38000,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,17800000,77,5,35,19,76,61,38,60,26,26,59,65,69,69,65,76,66,56,76,68,76,44,78,78,16,33,37,76,78,80,80
"83",65,"Lukas Grozurek",27,187.96,83,65,575000,5000,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,834000,67,11,62,63,61,60,61,65,63,31,51,64,74,78,72,58,44,64,71,82,80,62,46,25,57,55,56,59,37,33,25
"84",56,"Nawaf Al Harthi",20,170.18,58.1,70,190000,2000,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,432000,68,29,51,49,30,53,47,56,45,42,49,54,72,73,74,49,80,52,50,52,43,46,33,18,54,51,48,46,17,21,23
"85",77,"Oscar Wendt",33,154.94,82.1,77,4900000,26000,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8400000,79,17,79,58,64,78,50,75,77,60,74,78,75,76,73,78,69,76,68,73,67,66,72,76,73,73,65,75,72,78,74
"86",62,"Francisco Pablo Cruz Torres",27,182.88,73,62,260000,1000,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,403000,68,5,33,28,62,63,33,40,42,40,60,58,51,61,65,59,63,57,77,75,76,35,70,60,36,47,38,58,52,58,59
"87",77,"Emre Akbaba",26,154.94,73,80,1.1e+07,51000,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,21700000,76,20,71,70,62,76,68,76,76,74,77,77,73,77,76,69,69,77,58,83,61,75,64,51,77,78,75,74,57,55,45
"88",67,"Kortney Hause",23,190.5,93,77,1100000,16000,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2791400.7,73,30,52,35,58,64,31,53,32,26,63,55,60,65,55,62,56,70,71,60,83,50,58,63,32,56,40,54,66,70,69
"89",72,"Tim Hoogland",33,182.88,79.8,72,1300000,13000,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2e+06,70,2,66,57,72,64,61,61,60,52,62,64,52,51,53,67,63,72,80,62,75,62,72,72,64,45,61,72,68,73,72
